coragyps_atratus,ardea_alba,buteo_albicaudatus,gypohierax,harpya,milvago_chimachima,trigonoceps,aix,buteogallus,eudocimus,platalea,sarcorhamphus,vultur
AST,PRT,APV,CBT,OBS,OBS,OBS,OBS,OBS,OBS,OBS,OBS,OBS
OBS,OBS,OBS,OBS,SCL,ACP,MAS,CBA,CBA,CBA,CBA,CBA,CBA
APV,PRT,APV,NAL,NAL,OBS,ACD,APV,APV,APV,APV,APV,APV
OBS,OBS,OBS,OBS,OBS,NAL,OBS,PRT,PRT,PRT,PRT,PRT,PRT
APV,PRT,APV,NAL,NAL,OBS,MAS,ACD,ACD,ACD,ACD,ACD,ACD
OBS,OBS,AUR,OBS,OBS,LIT,OBS,ACG,ACG,ACG,ACG,ACG,ACG
APV,PRT,OBS,CBT,APV,OBS,LIT,ACP,ACP,ACP,ACP,ACP,ACP
OBS,OBS,NAL,OBS,NAL,NAL,OBS,ACA,ACA,ACA,ACA,ACA,ACA
ACP,PRT,OBS,LIT,OBS,OBS,ACE,AUR,AUR,AUR,AUR,AUR,AUR
OBS,OBS,ACP,NAL,PRT,AUR,OBS,ACE,ACE,ACE,ACE,ACE,ACE
ACE,SCL,OBS,LIT,OBS,NAL,MAS,LIT,LIT,LIT,LIT,LIT,LIT
OBS,OBS,AUR,NAL,AUR,OBS,ACG,LCD,LCD,LCD,LCD,LCD,LCD
ACG,CBA,OBS,LIT,OBS,ACD,OBS,AST,AST,AST,AST,AST,AST
OBS,OBS,ACP,NAL,AUR,OBS,MAS,EMA,EMA,EMA,EMA,EMA,EMA
PRT,PRT,ECA,OBS,OBS,NAL,ACG,SAC,SAC,SAC,SAC,SAC,SAC
OBS,OBS,OBS,NAL,SCL,OBS,OBS,SCL,SCL,SCL,SCL,SCL,SCL
ACG,ACP,ACP,OBS,OBS,ACP,MAS,CBT,CBT,CBT,CBT,CBT,CBT
OBS,PRT,OBS,NAL,NAL,OBS,ACG,ECA,ECA,ECA,ECA,ECA,ECA
PRT,OBS,ECA,OBS,SCL,LIT,OBS,NAL,NAL,NAL,NAL,NAL,NAL
